function,mech_name,file,doc_first_line,in_all,has_class
F1,BCH,Musical_Intelligence.brain.functions.f1.mechanisms.bch,"Brainstem Consonance Hierarchy — SPU Relay (depth 0, 16D).",True,True
F1,CSG,Musical_Intelligence.brain.functions.f1.mechanisms.csg,"Consonance-Salience Gradient — ASU Relay (depth 0, 12D).",True,True
F1,MIAA,Musical_Intelligence.brain.functions.f1.mechanisms.miaa,"Musical Imagery Auditory Activation — SPU Relay (depth 0, 11D).",True,True
F1,MPG,Musical_Intelligence.brain.functions.f1.mechanisms.mpg,"Melodic Processing Gradient — NDU Relay (depth 0, 10D).",True,True
F1,PCCR,Musical_Intelligence.brain.functions.f1.mechanisms.pccr,"Pitch Chroma Cortical Representation — SPU Associator (depth 2, 11D).",True,True
F1,PNH,Musical_Intelligence.brain.functions.f1.mechanisms.pnh,"Pythagorean Neural Hierarchy — IMU Relay (depth 0, 11D).",True,True
F1,PSCL,Musical_Intelligence.brain.functions.f1.mechanisms.pscl,"Pitch Salience in Cortical Lateralization — SPU Encoder (depth 1, 16D).",True,True
F1,SDED,Musical_Intelligence.brain.functions.f1.mechanisms.sded,"Sensory Dissonance Early Detection — SPU Relay (depth 0, 10D).",True,True
F1,SDNPS,Musical_Intelligence.brain.functions.f1.mechanisms.sdnps,"Stimulus-Dependent Neural Pitch Salience — SPU Relay (depth 0, 10D).",True,True
F1,STAI,Musical_Intelligence.brain.functions.f1.mechanisms.stai,"Spectral-Temporal Aesthetic Integration — SPU Relay (depth 0, 12D).",False,True
F1,TPIO,Musical_Intelligence.brain.functions.f1.mechanisms.tpio,"Timbre Perception-Imagery Overlap -- SPU Relay (depth 0, 10D).",True,True
F1,TPRD,Musical_Intelligence.brain.functions.f1.mechanisms.tprd,"Tonotopy-Pitch Representation Dissociation — IMU Relay (depth 0, 10D).",True,True
F2,CHPI,Musical_Intelligence.brain.functions.f2.mechanisms.chpi,"Cross-Modal Harmonic Predictive Integration -- PCU Integrator (depth 3, 11D).",True,True
F2,HTP,Musical_Intelligence.brain.functions.f2.mechanisms.htp,"Hierarchical Temporal Prediction — PCU Relay (depth 0, 12D).",True,True
F2,ICEM,Musical_Intelligence.brain.functions.f2.mechanisms.icem,"Information Content Emotion Model — PCU Relay (depth 0, 13D).",True,True
F2,IGFE,Musical_Intelligence.brain.functions.f2.mechanisms.igfe,"Individual Gamma Frequency Enhancement -- PCU Integrator (depth 3, 9D).",True,True
F2,MAA,Musical_Intelligence.brain.functions.f2.mechanisms.maa,"Multifactorial Atonal Appreciation — PCU Hub (depth 4, 10D).",True,True
F2,PSH,Musical_Intelligence.brain.functions.f2.mechanisms.psh,"Prediction Silencing Hypothesis — PCU Hub (depth 5, 10D).",True,True
F2,PWUP,Musical_Intelligence.brain.functions.f2.mechanisms.pwup,"Precision-Weighted Uncertainty Processing -- PCU Encoder (depth 1, 10D).",True,True
F2,SPH,Musical_Intelligence.brain.functions.f2.mechanisms.sph,"Spatiotemporal Prediction Hierarchy — PCU Relay (depth 0, 14D).",True,True
F2,UDP,Musical_Intelligence.brain.functions.f2.mechanisms.udp,"Uncertainty-Driven Pleasure -- PCU Integrator (depth 3, 10D).",True,True
F2,WMED,Musical_Intelligence.brain.functions.f2.mechanisms.wmed,"Working Memory-Entrainment Dissociation -- PCU Associator (depth 2, 11D).",True,True
F3,AACM,Musical_Intelligence.brain.functions.f3.mechanisms.aacm,"Aesthetic-Attention Coupling Model -- ASU Encoder (depth 1, 10D).",True,True
F3,AMSS,Musical_Intelligence.brain.functions.f3.mechanisms.amss,"Attention-Modulated Stream Segregation -- STU Encoder (depth 1, 11D).",True,True
F3,BARM,Musical_Intelligence.brain.functions.f3.mechanisms.barm,"Brainstem Auditory Response Modulation -- ASU Encoder (depth 1, 10D).",True,True
F3,DGTP,Musical_Intelligence.brain.functions.f3.mechanisms.dgtp,"Domain-General Temporal Processing -- ASU Associator (depth 2, 9D).",True,True
F3,ETAM,Musical_Intelligence.brain.functions.f3.mechanisms.etam,"Entrainment, Tempo and Attention Modulation -- STU Encoder (depth 1, 11D).",True,True
F3,IACM,Musical_Intelligence.brain.functions.f3.mechanisms.iacm,"Inharmonicity-Attention Capture Model — ASU Relay (depth 0, 11D).",True,True
F3,IGFE,Musical_Intelligence.brain.functions.f3.mechanisms.igfe,"Individual Gamma Frequency Enhancement -- PCU Associator (depth 2, 9D).",True,True
F3,NEWMD,Musical_Intelligence.brain.functions.f3.mechanisms.newmd,"Neural Entrainment-Working Memory Dissociation -- STU Associator (depth 2, 10D).",True,True
F3,PWSM,Musical_Intelligence.brain.functions.f3.mechanisms.pwsm,"Precision-Weighted Salience Model -- ASU Associator (depth 2, 9D).",True,True
F3,SDL,Musical_Intelligence.brain.functions.f3.mechanisms.sdl,"Salience-Dependent Lateralization -- ASU Associator (depth 2, 9D).",True,True
F3,SNEM,Musical_Intelligence.brain.functions.f3.mechanisms.snem,"Sensory Novelty and Expectation Model — ASU Relay (depth 0, 12D).",True,True
F3,STANM,Musical_Intelligence.brain.functions.f3.mechanisms.stanm,"Spectrotemporal Attention Network Model -- ASU Encoder (depth 1, 11D).",True,True
F4,CDEM,Musical_Intelligence.brain.functions.f4.mechanisms.cdem,"Context-Dependent Emotional Memory -- IMU Associator (depth 2, 10D).",True,True
F4,CMAPCC,Musical_Intelligence.brain.functions.f4.mechanisms.cmapcc,"Cross-Modal Action-Perception Common Code -- IMU Associator (depth 2, 10D).",True,True
