file_path,line,scope,name,value,dtype,kind,context_before,context_line,context_after,has_citation_in_context,citation_author,citation_year,has_todo_fixme,bucket_v3,reason_v3
brain/beliefs.py,101,module::def compute_beliefs,T,0,int,module-assign,dim_lookup = build_dim_lookup(nuclei) | n_beliefs = len(beliefs_reg) | ,T = 0,for arr in relays.values(): | T = arr.shape[0] | break,0,,,0,NULL-PLACEHOLDER,trivial-null
brain/beliefs.py,54,module::def normalize_mechanism_outputs::def normalize_mechanism_outputs,normalize_mechanism_outputs.pct_lo,2.0,float,kw-default,"def normalize_mechanism_outputs( | relays: Dict[str, np.ndarray], | *,","pct_lo: float = 2.0,","pct_hi: float = 98.0, | min_range: float = 0.01, | ) -> Dict[str, np.ndarray]:",0,,,0,LIT-FROZEN,file-citation-inherited
brain/beliefs.py,55,module::def normalize_mechanism_outputs::def normalize_mechanism_outputs,normalize_mechanism_outputs.pct_hi,98.0,float,kw-default,"relays: Dict[str, np.ndarray], | *, | pct_lo: float = 2.0,","pct_hi: float = 98.0,","min_range: float = 0.01, | ) -> Dict[str, np.ndarray]: | """"""Recover dynamic range at the mechanism output level.",0,,,0,LIT-FROZEN,file-citation-inherited
brain/beliefs.py,56,module::def normalize_mechanism_outputs::def normalize_mechanism_outputs,normalize_mechanism_outputs.min_range,0.01,float,kw-default,"*, | pct_lo: float = 2.0, | pct_hi: float = 98.0,","min_range: float = 0.01,",") -> Dict[str, np.ndarray]: | """"""Recover dynamic range at the mechanism output level. | ",0,,,0,LIT-FROZEN,file-citation-inherited
brain/beliefs.py,139,module::def compute_beliefs,np.clip.arg1,0.0,float,call-posarg1,dim_val = 1.0 - dim_val | value += dim_val * weight | ,"result[:, idx] = np.clip(value, 0.0, 1.0)", | return result,0,,,0,NULL-PLACEHOLDER,trivial-null
brain/beliefs.py,139,module::def compute_beliefs,np.clip.arg2,1.0,float,call-posarg2,dim_val = 1.0 - dim_val | value += dim_val * weight | ,"result[:, idx] = np.clip(value, 0.0, 1.0)", | return result,0,,,0,NULL-PLACEHOLDER,trivial-null
brain/beliefs.py,73,module::def normalize_mechanism_outputs,np.clip.arg1,0.0,float,call-posarg1,rng = hi - lo | if rng < min_range: | continue,"out[:, d] = np.clip((col - lo) / rng, 0.0, 1.0)",normalized[name] = out | return normalized | ,0,,,0,NULL-PLACEHOLDER,trivial-null
brain/beliefs.py,73,module::def normalize_mechanism_outputs,np.clip.arg2,1.0,float,call-posarg2,rng = hi - lo | if rng < min_range: | continue,"out[:, d] = np.clip((col - lo) / rng, 0.0, 1.0)",normalized[name] = out | return normalized | ,0,,,0,NULL-PLACEHOLDER,trivial-null
brain/beliefs.py,136,module::def compute_beliefs,<expr-L>,1.0,float,expr-literal,"if dim_idx < mech_output.shape[1]: | dim_val = mech_output[:, dim_idx] | if invert:",dim_val = 1.0 - dim_val,"value += dim_val * weight |  | result[:, idx] = np.clip(value, 0.0, 1.0)",0,,,0,NULL-PLACEHOLDER,trivial-null
brain/executor.py,35,module,_NUM_REGIONS,26,int,module-assign,from torch import Tensor |  | # RAM and neuro dimensions,_NUM_REGIONS = 26,_NUM_NEURO = 4 |  | # Canonical region order (must match registry.py),0,,,0,STRUCTURAL,structural-name-token
brain/executor.py,36,module,_NUM_NEURO,4,int,module-assign, | # RAM and neuro dimensions | _NUM_REGIONS = 26,_NUM_NEURO = 4, | # Canonical region order (must match registry.py) | _REGION_NAMES = [,0,,,0,STRUCTURAL,structural-name-token
