file_path,line,scope,name,value,dtype,kind,context_before,context_line,context_after,has_citation_in_context,citation_author,citation_year,has_todo_fixme
brain/beliefs.py,54,module::def normalize_mechanism_outputs,normalize_mechanism_outputs.pct_lo,2.0,float,kw-default,"def normalize_mechanism_outputs( | relays: Dict[str, np.ndarray], | *,","pct_lo: float = 2.0,","pct_hi: float = 98.0, | min_range: float = 0.01, | ) -> Dict[str, np.ndarray]:",0,,,0
brain/beliefs.py,55,module::def normalize_mechanism_outputs,normalize_mechanism_outputs.pct_hi,98.0,float,kw-default,"relays: Dict[str, np.ndarray], | *, | pct_lo: float = 2.0,","pct_hi: float = 98.0,","min_range: float = 0.01, | ) -> Dict[str, np.ndarray]: | """"""Recover dynamic range at the mechanism output level.",0,,,0
brain/beliefs.py,56,module::def normalize_mechanism_outputs,normalize_mechanism_outputs.min_range,0.01,float,kw-default,"*, | pct_lo: float = 2.0, | pct_hi: float = 98.0,","min_range: float = 0.01,",") -> Dict[str, np.ndarray]: | """"""Recover dynamic range at the mechanism output level. | ",0,,,0
brain/beliefs.py,136,module::def compute_beliefs,<expr-L>,1.0,float,expr-literal,"if dim_idx < mech_output.shape[1]: | dim_val = mech_output[:, dim_idx] | if invert:",dim_val = 1.0 - dim_val,"value += dim_val * weight |  | result[:, idx] = np.clip(value, 0.0, 1.0)",0,,,0
brain/dimensions/interpreter.py,56,module::class FlowInterpreter::def interpret,interpret.sr,44100,int,kw-default,"beliefs: Tensor, | *, | audio: Optional[Tensor] = None,","sr: int = 44100,",") -> Dict[str, object]: | """"""Compute all 12 dimensions and slice per flow. | ",0,,,0
brain/dimensions/interpreter.py,85,module::class FlowInterpreter::def interpret,call.dim,-1,negint,call-kwarg," | # Stack: tempo first, then 11 belief dims → (B, T, 12) | # Pool functions output [0, 1]; convert to bipolar [-1, +1]","unipolar = torch.stack([tempo] + belief_dims, dim=-1).clamp(0, 1)","all_12d = (unipolar * 2 - 1).clamp(-1, 1) |  | # Slice per flow",0,,,0
brain/dimensions/interpreter.py,106,module::class FlowInterpreter::def interpret_numpy,interpret_numpy.sr,44100,int,kw-default,"beliefs: np.ndarray, | *, | audio: Optional[np.ndarray] = None,","sr: int = 44100,",") -> Dict[str, object]: | """"""Convenience: numpy in → numpy out. | ",0,,,0
brain/dimensions/pool.py,34,module,_HARMONIC_STABILITY,4,int,module-assign,# ── Belief index constants ──────────────────────────────────────────── |  | # F1 Sensory,_HARMONIC_STABILITY = 4,_SPATIAL_WIDTH = 13 | _SPECTRAL_COMPLEXITY = 16 | ,0,,,0
brain/dimensions/pool.py,35,module,_SPATIAL_WIDTH,13,int,module-assign, | # F1 Sensory | _HARMONIC_STABILITY = 4,_SPATIAL_WIDTH = 13,_SPECTRAL_COMPLEXITY = 16 |  | # F2 Prediction,0,,,0
brain/dimensions/pool.py,36,module,_SPECTRAL_COMPLEXITY,16,int,module-assign,# F1 Sensory | _HARMONIC_STABILITY = 4 | _SPATIAL_WIDTH = 13,_SPECTRAL_COMPLEXITY = 16, | # F2 Prediction | _PREDICTION_ACCURACY = 20,0,,,0
