study,contrast,label,peak_xyz,closest_region,distance_mm,name_equality,coord_match_10mm,atlas_proxy
blood2001,Chills>no,vmPFC,"[0, 50, -10]",vmPFC,5.657,True,True,False
blood2001,Chills>no,OFC,"[24, 36, -16]",OFC,6.0,True,True,False
blood2001,Chills>no,ACC,"[4, 22, 32]",ACC,2.828,True,True,False
blood2001,Chills>no,insula,"[38, -16, 6]",insula,2.0,True,True,False
blood2001,Chills>no,SMA,"[4, 4, 60]",SMA,2.0,True,True,False
blood2001,Chills>no,VTA,"[4, -16, -14]",VTA,0.0,True,True,False
blood2001,Chills>no,amygdala,"[22, -4, -18]",amygdala,2.0,True,True,False
salimpoor2013,High>low_reward,NAcc,"[12, 10, -8]",NAcc,0.0,True,True,False
salimpoor2013,High>low_reward,IFG,"[50, 20, 16]",IFG,0.0,True,True,False
salimpoor2013,High>low_reward,VTA,"[4, -16, -14]",VTA,0.0,True,True,False
salimpoor2013,High>low_reward,STG,"[56, -34, 6]",STG,0.0,True,True,False
salimpoor2013,High>low_reward,amygdala,"[22, -4, -18]",amygdala,2.0,True,True,False
salimpoor2013,High>low_reward,OFC,"[24, 36, -16]",OFC,6.0,True,True,False
grahn2007,Beat>non-beat,SMA,"[6, 4, 60]",SMA,0.0,True,True,False
grahn2007,Beat>non-beat,putamen,"[26, 0, 2]",putamen,0.0,True,True,False
grahn2007,Beat>non-beat,STG,"[56, -34, 6]",STG,0.0,True,True,False
koelsch2005,Irreg>reg,IFG,"[50, 20, 16]",IFG,0.0,True,True,False
koelsch2005,Irreg>reg,STG,"[56, -34, 6]",STG,0.0,True,True,False
brattico2011,Happy>sad,hippocampus,"[28, -22, -10]",hippocampus,0.0,True,True,False
brattico2011,Happy>sad,amygdala,"[22, -4, -18]",amygdala,2.0,True,True,False
brattico2011,Happy>sad,STG,"[56, -34, 6]",STG,0.0,True,True,False
zatorre2005,Imagery>rest,SMA,"[6, 4, 60]",SMA,0.0,True,True,False
zatorre2005,Imagery>rest,IFG,"[50, 20, 16]",IFG,0.0,True,True,False
zatorre2005,Imagery>rest,A1_HG,"[50, -22, 8]",A1_HG,0.0,True,True,False
putkinen2025,OPI,NAcc,"[12, 10, -8]",NAcc,0.0,True,True,False
putkinen2025,OPI,OFC_a,"[24, 36, -16]",OFC,6.0,False,True,False
putkinen2025,OPI,insula,"[38, -16, 6]",insula,2.0,True,True,False
putkinen2025,OPI,ACC,"[4, 22, 32]",ACC,2.828,True,True,False
putkinen2025,OPI,amygdala,"[22, -4, -18]",amygdala,2.0,True,True,False
putkinen2025,OPI,vmPFC,"[0, 50, -10]",vmPFC,5.657,True,True,False
putkinen2025,OPI,OFC_b,"[30, 36, -16]",OFC,0.0,False,True,False
putkinen2025,OPI,thalamus_proxy_MGB,"[16, -24, -2]",MGB,0.0,False,True,True
