constant_id,file_path,line_number,name,value,kind,category,reason,citation,verification_method,verification_outcome,verification_source,confidence,escalation_flag,notes
F1_00001,brain/functions/f1/beliefs/bch/consonance_trajectory.py,20,_F0_CONSONANCE_FORECAST,12,module-assign,C,"Structural mechanism-output index alias '_F0_CONSONANCE_FORECAST'=12 — points to a position in the 16D nucleus output tensor (E/M/P/F layer index); structural address, not empirical.",,code-locality,N/A,N/A,HIGH,False,mech=bch scope=module
F1_00002,brain/functions/f1/beliefs/bch/harmonic_stability.py,24,_E2_HIERARCHY,2,module-assign,C,"Structural mechanism-output index alias '_E2_HIERARCHY'=2 — points to a position in the 16D nucleus output tensor (E/M/P/F layer index); structural address, not empirical.",,code-locality,N/A,N/A,HIGH,False,mech=bch scope=module
F1_00003,brain/functions/f1/beliefs/bch/harmonic_stability.py,25,_P0_CONSONANCE,8,module-assign,C,"Structural mechanism-output index alias '_P0_CONSONANCE'=8 — points to a position in the 16D nucleus output tensor (E/M/P/F layer index); structural address, not empirical.",,code-locality,N/A,N/A,HIGH,False,mech=bch scope=module
F1_00004,brain/functions/f1/beliefs/bch/harmonic_stability.py,26,_P1_TEMPLATE,9,module-assign,C,"Structural mechanism-output index alias '_P1_TEMPLATE'=9 — points to a position in the 16D nucleus output tensor (E/M/P/F layer index); structural address, not empirical.",,code-locality,N/A,N/A,HIGH,False,mech=bch scope=module
F1_00005,brain/functions/f1/beliefs/bch/harmonic_stability.py,29,_ROUGHNESS_TREND,"[0, 6, 18, 0]",module-assign,C,"Structural H³ demand-tuple alias '_ROUGHNESS_TREND'=[0, 6, 18, 0]; encodes (r3_idx, horizon, morph, law) addressable address-space identifier, not an empirical value.",,code-locality,N/A,N/A,HIGH,False,mech=bch scope=module
F1_00006,brain/functions/f1/beliefs/bch/harmonic_stability.py,30,_ROUGHNESS_PERIOD,"[0, 12, 1, 0]",module-assign,C,"Structural H³ demand-tuple alias '_ROUGHNESS_PERIOD'=[0, 12, 1, 0]; encodes (r3_idx, horizon, morph, law) addressable address-space identifier, not an empirical value.",,code-locality,N/A,N/A,HIGH,False,mech=bch scope=module
F1_00007,brain/functions/f1/beliefs/bch/harmonic_stability.py,33,_W_TREND,0.05,module-assign,E,"Belief predict-equation weight '_W_TREND'=0.05 (E4 mixer); per context_brief §3, predict-equation mixer coefficients (w_trend/w_period/w_ctx) are ENGINEERING-CHOICE, NOT HAND-SPECIFIED-DISCLOSED (F is strictly 7 reward weights only).",,code-locality,N/A,N/A,HIGH,False,mech=bch scope=module
F1_00008,brain/functions/f1/beliefs/bch/harmonic_stability.py,34,_W_PERIOD,0.03,module-assign,E,"Belief predict-equation weight '_W_PERIOD'=0.03 (E4 mixer); per context_brief §3, predict-equation mixer coefficients (w_trend/w_period/w_ctx) are ENGINEERING-CHOICE, NOT HAND-SPECIFIED-DISCLOSED (F is strictly 7 reward weights only).",,code-locality,N/A,N/A,HIGH,False,mech=bch scope=module
F1_00009,brain/functions/f1/beliefs/bch/harmonic_stability.py,35,_W_CTX,0.02,module-assign,E,"Belief predict-equation weight '_W_CTX'=0.02 (E4 mixer); per context_brief §3, predict-equation mixer coefficients (w_trend/w_period/w_ctx) are ENGINEERING-CHOICE, NOT HAND-SPECIFIED-DISCLOSED (F is strictly 7 reward weights only).",,code-locality,N/A,N/A,HIGH,False,mech=bch scope=module
F1_00010,brain/functions/f1/beliefs/bch/harmonic_stability.py,45,TAU,0.3,class-attr,E,"Belief class attribute TAU=0.3 — predict-equation inertia coefficient, ENGINEERING-CHOICE (E4) per context_brief §3.",,code-locality,N/A,N/A,HIGH,False,mech=bch scope=module::class HarmonicStabilit
