file_path,line,scope,name,value,dtype,kind,bucket,bucket_reason,citation_author,citation_year,context_line
brain/beliefs.py,101,module::def compute_beliefs,T,0,int,module-assign,NULL-FALLBACK,trivial-null-no-citation,,,T = 0
brain/beliefs.py,54,module::def normalize_mechanism_outputs::def normalize_mechanism_outputs,normalize_mechanism_outputs.pct_lo,2.0,float,kw-default,HAND-TUNED,arg-default-no-citation,,,"pct_lo: float = 2.0,"
brain/beliefs.py,55,module::def normalize_mechanism_outputs::def normalize_mechanism_outputs,normalize_mechanism_outputs.pct_hi,98.0,float,kw-default,HAND-TUNED,arg-default-no-citation,,,"pct_hi: float = 98.0,"
brain/beliefs.py,56,module::def normalize_mechanism_outputs::def normalize_mechanism_outputs,normalize_mechanism_outputs.min_range,0.01,float,kw-default,HAND-TUNED,arg-default-no-citation,,,"min_range: float = 0.01,"
brain/beliefs.py,139,module::def compute_beliefs,np.clip.arg1,0.0,float,call-posarg1,NULL-FALLBACK,trivial-null-no-citation,,,"result[:, idx] = np.clip(value, 0.0, 1.0)"
brain/beliefs.py,139,module::def compute_beliefs,np.clip.arg2,1.0,float,call-posarg2,NULL-FALLBACK,trivial-null-no-citation,,,"result[:, idx] = np.clip(value, 0.0, 1.0)"
brain/beliefs.py,73,module::def normalize_mechanism_outputs,np.clip.arg1,0.0,float,call-posarg1,NULL-FALLBACK,trivial-null-no-citation,,,"out[:, d] = np.clip((col - lo) / rng, 0.0, 1.0)"
brain/beliefs.py,73,module::def normalize_mechanism_outputs,np.clip.arg2,1.0,float,call-posarg2,NULL-FALLBACK,trivial-null-no-citation,,,"out[:, d] = np.clip((col - lo) / rng, 0.0, 1.0)"
brain/beliefs.py,136,module::def compute_beliefs,<expr-L>,1.0,float,expr-literal,NULL-FALLBACK,trivial-null-expr-literal,,,dim_val = 1.0 - dim_val
brain/executor.py,35,module,_NUM_REGIONS,26,int,module-assign,STRUCTURAL,structural-name-token,,,_NUM_REGIONS = 26
brain/executor.py,36,module,_NUM_NEURO,4,int,module-assign,STRUCTURAL,structural-name-token,,,_NUM_NEURO = 4
brain/executor.py,134,module::def execute,torch.clamp.min,0.0,float,call-kw,NULL-FALLBACK,trivial-null-no-citation,,,"ram = torch.clamp(ram, min=0.0)"
brain/functions/f1/beliefs/bch/consonance_trajectory.py,20,module,_F0_CONSONANCE_FORECAST,12,int,module-assign,HAND-TUNED,module-assign-no-citation,,,_F0_CONSONANCE_FORECAST = 12
brain/functions/f1/beliefs/bch/harmonic_stability.py,24,module,_E2_HIERARCHY,2,int,module-assign,HAND-TUNED,module-assign-no-citation,,,_E2_HIERARCHY = 2          # E2:hierarchy
brain/functions/f1/beliefs/bch/harmonic_stability.py,25,module,_P0_CONSONANCE,8,int,module-assign,HAND-TUNED,module-assign-no-citation,,,_P0_CONSONANCE = 8         # P0:consonance_signal
brain/functions/f1/beliefs/bch/harmonic_stability.py,26,module,_P1_TEMPLATE,9,int,module-assign,HAND-TUNED,module-assign-no-citation,,,_P1_TEMPLATE = 9           # P1:template_match
brain/functions/f1/beliefs/bch/harmonic_stability.py,29,module,_ROUGHNESS_TREND,"[0, 6, 18, 0]",tuple-numeric,module-assign,HAND-TUNED,module-assign-no-citation,,,"_ROUGHNESS_TREND = (0, 6, 18, 0)      # roughness M18 trend at 200ms, L0"
