constant_id,file_path,line_number,name,value,kind,category,reason,citation,verification_method,verification_outcome,verification_source,confidence,escalation_flag,notes,source_agent
F1_00001,brain/functions/f1/beliefs/bch/consonance_trajectory.py,20,_F0_CONSONANCE_FORECAST,12,module-assign,C,"Structural mechanism-output index alias '_F0_CONSONANCE_FORECAST'=12 — points to a position in the 16D nucleus output tensor (E/M/P/F layer index); structural address, not empirical.",,code-locality,N/A,N/A,HIGH,False,mech=bch scope=module,1
F1_00002,brain/functions/f1/beliefs/bch/harmonic_stability.py,24,_E2_HIERARCHY,2,module-assign,C,"Structural mechanism-output index alias '_E2_HIERARCHY'=2 — points to a position in the 16D nucleus output tensor (E/M/P/F layer index); structural address, not empirical.",,code-locality,N/A,N/A,HIGH,False,mech=bch scope=module,1
F1_00003,brain/functions/f1/beliefs/bch/harmonic_stability.py,25,_P0_CONSONANCE,8,module-assign,C,"Structural mechanism-output index alias '_P0_CONSONANCE'=8 — points to a position in the 16D nucleus output tensor (E/M/P/F layer index); structural address, not empirical.",,code-locality,N/A,N/A,HIGH,False,mech=bch scope=module,1
F1_00004,brain/functions/f1/beliefs/bch/harmonic_stability.py,26,_P1_TEMPLATE,9,module-assign,C,"Structural mechanism-output index alias '_P1_TEMPLATE'=9 — points to a position in the 16D nucleus output tensor (E/M/P/F layer index); structural address, not empirical.",,code-locality,N/A,N/A,HIGH,False,mech=bch scope=module,1
F1_00005,brain/functions/f1/beliefs/bch/harmonic_stability.py,29,_ROUGHNESS_TREND,"[0, 6, 18, 0]",module-assign,C,"Structural H³ demand-tuple alias '_ROUGHNESS_TREND'=[0, 6, 18, 0]; encodes (r3_idx, horizon, morph, law) addressable address-space identifier, not an empirical value.",,code-locality,N/A,N/A,HIGH,False,mech=bch scope=module,1
F1_00006,brain/functions/f1/beliefs/bch/harmonic_stability.py,30,_ROUGHNESS_PERIOD,"[0, 12, 1, 0]",module-assign,C,"Structural H³ demand-tuple alias '_ROUGHNESS_PERIOD'=[0, 12, 1, 0]; encodes (r3_idx, horizon, morph, law) addressable address-space identifier, not an empirical value.",,code-locality,N/A,N/A,HIGH,False,mech=bch scope=module,1
F1_00007,brain/functions/f1/beliefs/bch/harmonic_stability.py,33,_W_TREND,0.05,module-assign,E,"Belief predict-equation weight '_W_TREND'=0.05 (E4 mixer); per context_brief §3, predict-equation mixer coefficients (w_trend/w_period/w_ctx) are ENGINEERING-CHOICE, NOT HAND-SPECIFIED-DISCLOSED (F is strictly 7 reward weights only).",,code-locality,N/A,N/A,HIGH,False,mech=bch scope=module,1
F1_00008,brain/functions/f1/beliefs/bch/harmonic_stability.py,34,_W_PERIOD,0.03,module-assign,E,"Belief predict-equation weight '_W_PERIOD'=0.03 (E4 mixer); per context_brief §3, predict-equation mixer coefficients (w_trend/w_period/w_ctx) are ENGINEERING-CHOICE, NOT HAND-SPECIFIED-DISCLOSED (F is strictly 7 reward weights only).",,code-locality,N/A,N/A,HIGH,False,mech=bch scope=module,1
F1_00009,brain/functions/f1/beliefs/bch/harmonic_stability.py,35,_W_CTX,0.02,module-assign,E,"Belief predict-equation weight '_W_CTX'=0.02 (E4 mixer); per context_brief §3, predict-equation mixer coefficients (w_trend/w_period/w_ctx) are ENGINEERING-CHOICE, NOT HAND-SPECIFIED-DISCLOSED (F is strictly 7 reward weights only).",,code-locality,N/A,N/A,HIGH,False,mech=bch scope=module,1
F1_00010,brain/functions/f1/beliefs/bch/harmonic_stability.py,45,TAU,0.3,class-attr,E,"Belief class attribute TAU=0.3 — predict-equation inertia coefficient, ENGINEERING-CHOICE (E4) per context_brief §3.",,code-locality,N/A,N/A,HIGH,False,mech=bch scope=module::class HarmonicStabilit,1
F1_00011,brain/functions/f1/beliefs/bch/harmonic_stability.py,46,BASELINE,0.5,class-attr,D,"Belief class attribute BASELINE=0.5 — typically 0.5 midpoint identity for the [0,1] output range.",,code-locality,N/A,N/A,HIGH,False,mech=bch scope=module::class HarmonicStabilit,1
F1_00012,brain/functions/f1/beliefs/bch/harmonic_stability.py,56,PRECISION_H3_TUPLES,"[[0, 8, 20, 0], [39, 8, 2, 0], [60, 8, 2, 0]]",ann-assign,C,"Annotated structural tuple list PRECISION_H3_TUPLES=[[0, 8, 20, 0], [39, 8, 2, 0], [60, 8, 2, 0]]; encodes per-belief H³ precision address-space identifiers (r3_idx,horizon,morph,law); not empirical values (§6 edge case 5).",,code-locality,N/A,N/A,HIGH,False,mech=bch scope=module::class HarmonicStabilit,1
F1_00013,brain/functions/f1/beliefs/bch/harmonic_stability.py,108,(base + _W_TREND * trend + _W_PERIOD * period + _W_CTX * ctx).clamp.arg0,0.0,call-posarg0,D,"Clamp boundary 0.0 on [0,1] output range — identity-form structural boundary (§6 edge case 6).",,code-locality,N/A,N/A,HIGH,False,mech=bch scope=module::class HarmonicStabilit,1
F1_00014,brain/functions/f1/beliefs/bch/harmonic_stability.py,108,(base + _W_TREND * trend + _W_PERIOD * period + _W_CTX * ctx).clamp.arg1,1.0,call-posarg1,D,"Clamp boundary 1.0 on [0,1] output range — identity-form structural boundary (§6 edge case 6).",,code-locality,N/A,N/A,HIGH,False,mech=bch scope=module::class HarmonicStabilit,1
F1_00015,brain/functions/f1/beliefs/bch/harmonic_stability.py,74,<expr-L>,0.2,expr-literal,E,"Engineering mixer weight in mechanism output blend (E4); no published source publishes this specific blend weight, author-chosen for output composition.",,code-locality,N/A,N/A,HIGH,False,mech=bch scope=module::class HarmonicStabilit,1
F1_00016,brain/functions/f1/beliefs/bch/harmonic_stability.py,72,<expr-L>,0.5,expr-literal,E,Engineering mid-point or 50/50 split coefficient in mechanism output blend; no literature anchor for this specific weight.,,code-locality,N/A,N/A,HIGH,False,mech=bch scope=module::class HarmonicStabilit,1
F1_00017,brain/functions/f1/beliefs/bch/harmonic_stability.py,73,<expr-L>,0.3,expr-literal,E,"Engineering mixer weight in mechanism output blend (E4); no published source publishes this specific blend weight, author-chosen for output composition.",,code-locality,N/A,N/A,HIGH,False,mech=bch scope=module::class HarmonicStabilit,1
F1_00018,brain/functions/f1/beliefs/bch/harmonic_stability.py,102,<expr-L>,0.1,expr-literal,E,"Engineering mixer weight in mechanism output blend (E4); no published source publishes this specific blend weight, author-chosen for output composition.",,code-locality,N/A,N/A,HIGH,False,mech=bch scope=module::class HarmonicStabilit,1
F1_00019,brain/functions/f1/beliefs/bch/harmonic_stability.py,102,<expr-L>,1.0,expr-literal,D,"Identity-form constant used in inversion/clamp operation; encodes mathematical boundary, not author choice.",,code-locality,N/A,N/A,HIGH,False,mech=bch scope=module::class HarmonicStabilit,1
F1_00020,brain/functions/f1/beliefs/bch/harmonic_stability.py,102,<expr-R>,0.1,expr-literal,E,"Engineering mixer weight in mechanism output blend (E4); no published source publishes this specific blend weight, author-chosen for output composition.",,code-locality,N/A,N/A,HIGH,False,mech=bch scope=module::class HarmonicStabilit,1
F1_00021,brain/functions/f1/beliefs/bch/harmonic_template_match.py,19,_P1_TEMPLATE,9,module-assign,C,"Structural mechanism-output index alias '_P1_TEMPLATE'=9 — points to a position in the 16D nucleus output tensor (E/M/P/F layer index); structural address, not empirical.",,code-locality,N/A,N/A,HIGH,False,mech=bch scope=module,1
