function,mechanism,dim_name,region,weight,citation
F1,BCH,E0:nps,IC,0.8,Bidelman 2009
F1,BCH,E1:harmonicity,AN,0.75,Bidelman 2013
F1,BCH,E2:hierarchy,AN,0.7,Bidelman & Heinz 2011
F1,BCH,E2:hierarchy,IC,0.65,Bidelman & Heinz 2011
F1,BCH,E3:ffr_behavior,IC,0.6,Bidelman 2009
F1,BCH,P0:consonance_signal,MGB,0.7,Tramo 2001
F1,BCH,P0:consonance_signal,A1_HG,0.55,Tramo 2001
F1,BCH,P0:consonance_signal,STG,0.5,Tramo 2001
F1,BCH,P1:template_match,IC,0.65,Bidelman 2013
F1,BCH,P1:template_match,MGB,0.55,Tramo 2001
F1,BCH,P2:neural_pitch,IC,0.75,Bidelman 2009
F1,BCH,P3:tonal_context,MGB,0.45,Krumhansl 1990
F1,BCH,F0:consonance_forecast,IC,0.4,Bidelman 2009
F1,BCH,F1:pitch_forecast,IC,0.4,Bidelman 2009
F1,CSG,E0:salience_activation,ACC,0.85,Bravo 2017
F1,CSG,E0:salience_activation,insula,0.75,Bravo 2017
F1,CSG,E1:sensory_evidence,A1_HG,0.8,Bravo 2017
F1,CSG,P2:sensory_load,A1_HG,0.6,Bravo 2017
F1,CSG,P0:salience_network,STG,0.65,Foo 2016
F1,CSG,P0:salience_network,amygdala,0.6,Koelsch
F1,MIAA,E0:imagery_activation,STG,0.8,Kraemer 2005
F1,MIAA,E1:novelty_response,STG,0.75,Kraemer 2005
F1,MIAA,P0:melody_retrieval,STG,0.65,Halpern 2004
F1,MIAA,E2:a1_modulation,A1_HG,0.7,Kraemer 2005
F1,MIAA,P0:melody_retrieval,A1_HG,0.5,Halpern 2004
F1,MIAA,F2:recognition_pred,STG,0.4,Di Liberto 2021
F1,MPG,E0:onset_posterior,A1_HG,0.8,Patterson 2002
F1,MPG,M1:posterior_activity,A1_HG,0.7,Briley 2013
F1,MPG,E1:sequence_anterior,STG,0.75,Rupp 2022
F1,MPG,P1:contour_state,STG,0.7,Foo 2016
F1,MPG,M2:anterior_activity,STG,0.55,Norman-Haignere 2013
F1,MPG,P0:onset_state,A1_HG,0.6,Patterson 2002
F1,MPG,P0:onset_state,STG,0.4,Rupp 2022
F1,MPG,F0:phrase_boundary_pred,IFG,0.35,Cheung 2019
F1,PCCR,P0:chroma_identity_signal,A1_HG,0.8,Patterson 2002
F1,PCCR,P1:octave_equivalence_index,A1_HG,0.7,Briley 2013
F1,PCCR,P2:chroma_salience,A1_HG,0.5,Penagos 2004
F1,PCCR,P0:chroma_identity_signal,STG,0.55,Warren 2003
F1,PCCR,P2:chroma_salience,STG,0.6,Patterson 2002
F1,PCCR,P1:octave_equivalence_index,STS,0.5,Griffiths 2010
F1,PCCR,F0:chroma_continuation_signal,STG,0.35,Warren 2003
F1,PCCR,F2:chroma_resolution_direction,IFG,0.3,Zatorre 2002
F1,PNH,H1:conflict_response,IFG,0.8,Kim 2021
F1,PNH,P1:conflict_mon,IFG,0.75,Kim 2021
F1,PNH,M0:ratio_complexity,ACC,0.65,Bidelman & Krishnan 2009
F1,PNH,P0:ratio_enc,STG,0.7,Kim 2021
F1,PNH,H0:ratio_encoding,A1_HG,0.6,Tabas 2019
F1,PSCL,P0:pitch_prominence_sig,A1_HG,0.85,Patterson 2002
F1,PSCL,P1:hg_cortical_response,A1_HG,0.9,Penagos 2004
F1,PSCL,P2:periodicity_clarity,A1_HG,0.6,Patterson 2002
F1,PSCL,P0:pitch_prominence_sig,STG,0.6,Patterson 2002
F1,PSCL,F2:melody_propagation,STG,0.4,Tabas 2019
F1,PSCL,F0:pitch_continuation,STS,0.3,Griffiths 2010
F1,PSCL,F2:melody_propagation,IFG,0.25,Zatorre 2002
F1,SDED,E0:early_detection,A1_HG,0.8,Fishman 2001
F1,SDED,P0:roughness_detection,A1_HG,0.65,Fishman 2001
F1,SDED,E0:early_detection,IC,0.7,Bidelman 2013
F1,SDED,E1:mmn_dissonance,STG,0.75,Foo 2016
F1,SDED,M0:detection_function,STG,0.5,Crespo-Bojorque 2018
F1,SDNPS,E0:nps_value,IC,0.8,Cousineau 2015
F1,SDNPS,P0:ffr_encoding,IC,0.75,Bidelman 2013
F1,SDNPS,P0:ffr_encoding,A1_HG,0.6,Penagos 2004
